feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
y_14_mean_5,0.0031479372374731635,0.0010023348789241547,0.006840233599295615,0.0003237220274507739,0.0008984138393459332,0.0008020741705500334,0.0029240588160366694,0.002276967795582335
y_10_mean_5,0.002648400254063902,0.0007359182416649231,0.007296626704616129,0.0007594149350439985,0.0009981411980990625,0.00021096434420872094,0.00314036505363328,0.0022556901044757166
z_13_std_5,0.005236138402980588,0.005517686741608193,2.2278585113177208e-05,0.0016562068139609942,0.0005165463855298239,0.0010600996994179122,0.00169364865886206,0.002243229326781821
x_5,0.0010511249724588887,0.0010227954135495069,0.00023353493802286517,0.0007768398571757416,0.0008188018174464558,0.00522149996723447,0.0065691972325767145,0.002241970599780663
y_9,7.367823471517607e-05,0.004174539352966054,0.007870826762757174,0.0007259113960480623,0.00018924248754748928,3.384981853762018e-05,0.0023451421689009077,0.0022018843173532117
y_7,0.0011304327280913869,0.00032012690405476904,0.0006206141463294761,0.007606646131600831,0.0003716330414953336,0.0005437873311920856,0.004605074404943923,0.0021711878125296865
z_8_mean_5,0.003135185114113062,0.005521552622166395,0.0017656780904554536,0.000993989841503452,0.0024913744059888382,0.0003892888497540229,0.0008893125663389223,0.002169483070045735
y_1_mean_5,0.0003740762761291701,0.002532890915898112,0.000807472188000104,0.00035525298961151726,0.0007762360180890272,0.001486158519993609,0.008636435404004118,0.0021383603302465226
y_12,0.0009494466940213435,0.0010186442756228813,0.00010798080246235181,0.002615917222821239,0.00020074558860761277,0.005881478672585146,0.003915155861861087,0.0020984813025688087
y_5_mean_5,0.00015563288122807053,0.001573300015102658,0.005026219340794979,0.0013504970653189072,0.0006351989490682104,0.0007121037733753774,0.005111884671440503,0.0020806909566183866
lmk_12_speed,0.0003500304581298131,0.0006992662458877997,0.0009491553779343694,0.003192178902814107,0.00010628186113600588,0.008306571694484935,0.0007772404891049444,0.0020543892899274247
lmk_8_speed,0.0027168718961015034,0.0012570135300263494,0.00043533523304160643,0.0010209963687133781,0.00031746050999182843,0.007716591470152635,0.000726224135663801,0.002027213306241586
y_11,0.0013925586040200205,0.0008867184351549998,7.905315156754408e-05,0.002555335628567394,0.000253610449353891,0.00492740750555889,0.0040188026456897995,0.0020162123457017913
z_17_mean_5,0.000290553712479176,0.0030952756004750427,0.0010293848317761316,0.0009465052689731561,0.0010255902254867725,0.000522346373581681,0.007034203359341643,0.0019919799103019433
y_8_mean_5,0.0019284516678955187,0.0005416183959687309,0.0023734665447521855,0.001115904656351241,0.0007277128650814572,0.001643316959603898,0.0055635040281635595,0.0019848535882595127
lmk_16_speed_mean_5,0.000932552886645831,0.0010579601383204705,0.001869191628472505,0.0013720728253135315,0.0004993981472278295,0.007238277348672809,0.0009001801948703914,0.0019813761670747668
z_9_mean_5,0.0005639337800071423,0.0012059854584556896,0.001274171188093819,0.005044115520999732,0.0036956872131580876,0.0009098419026224134,0.001066839100227856,0.0019657963090806774
lmk_0_speed_mean_5,0.006820570658083541,0.00215919313363089,0.00021463502449712118,0.0018609676861670948,0.0005633402354268114,0.0002708680051249704,0.0017364122154868724,0.001946569565488186
y_20,0.00016941664581093837,0.0006277261283120381,0.00014423991748239664,0.00614659533893441,0.00017289522183167055,0.00018293082378565507,0.006134124183775533,0.0019397040371332344
x_14_mean_5,0.003863389978002205,0.0005901526734481272,0.0013327174888566804,0.0014194720299657562,0.0012799965614413487,0.0006277553539333337,0.004260342932978965,0.001910546716946631
lmk_19_speed_mean_5,0.0017992105204076374,0.0006846160125710113,0.0006191283526998317,0.0005377268703557193,0.0006127455351318466,0.007681251928843531,0.0013965489297209784,0.001904461164247222
y_3,0.001544197961790499,0.001533414915213389,0.00267535019171886,0.002008680211078146,0.0005948511673507832,0.0007971287242633999,0.004087648810748425,0.0018916102831662146
